experiment_name,run_dir,output_root,run_date,status,cleanable,archived,archived_note,config_sha1,config_hash_type,config_path,config_source,effective_config_path,effective_config_sha1,summary_path,avg_mae,avg_r2,win_both,dataset_count,seed_count,key_hparams,error
outputs,outputs,outputs,2026-02-10T15:48:46+08:00,success,false,false,,4c90183f7e0265b8925ca53bb3afab6820238535,,configs/rplc_14x14.yaml,output_root_match,experiments/configs/4f4f9543701516c865629e12c08147878fb59cdd.yaml,4f4f9543701516c865629e12c08147878fb59cdd,outputs/metrics/summary_vs_paper.csv,43.239902,0.837923,0,2,31,"{""datasets.external_count"": 14, ""datasets.pretrain_count"": 14, ""models.CALIBRATE"": true, ""models.CLIP_MULT"": 1.5, ""models.ENABLE_FAIL_TUNING"": true, ""models.FUSION_TOP_K"": 4, ""seeds.default"": ""0:29"", ""transfer_weights.adaptive_source"": true, ""transfer_weights.max_scale"": 2.0, ""transfer_weights.min_scale"": 0.25, ""transfer_weights.similarity_power"": 2.0, ""transfer_weights.source"": 0.2, ""transfer_weights.target"": 1.0, ""transfer_weights.target_normalize"": false}",
outputs_micro_0028_0039_hyper_ens5_big_gradnorm_v1,outputs_micro_0028_0039_hyper_ens5_big_gradnorm_v1,outputs_micro_0028_0039_hyper_ens5_big_gradnorm_v1,2026-02-09T21:37:30+08:00,success,false,false,,0e4ad362b5f0fe956cd4d9b5b12e343d7172001f,normalized_sha1,configs/micro_0028_0039_hyper_ens5_big_gradnorm.yaml,output_root_match,experiments/configs/0e4ad362b5f0fe956cd4d9b5b12e343d7172001f.yaml,0e4ad362b5f0fe956cd4d9b5b12e343d7172001f,outputs_micro_0028_0039_hyper_ens5_big_gradnorm_v1/metrics/summary_vs_paper.csv,381.212261,0.719964,0,2,5,"{""datasets.external"": [""0028"", ""0039""], ""datasets.external_count"": 2, ""datasets.pretrain_count"": 14, ""models.CALIBRATE"": false, ""models.CLIP_MULT"": 10.0, ""models.ENABLE_FAIL_TUNING"": false, ""models.ENABLE_HYPER_TL"": true, ""models.FUSION_TOP_K"": 1, ""models.HYPER_TL.cp_hidden"": 512, ""models.HYPER_TL.dropout"": 0.05, ""models.HYPER_TL.embed_dim"": 256, ""models.HYPER_TL.mol_hidden"": 1024, ""models.HYPER_TL.n_models"": 5, ""models.ONLY_HYPER_TL"": true, ""seeds.default"": ""0:4"", ""transfer_weights.adaptive_source"": false, ""transfer_weights.source"": 0.2, ""transfer_weights.target"": 1.0, ""transfer_weights.target_transform"": ""gradient_norm""}",
outputs_micro_0028_0039_hyper_ens5_big_log1p_v1,outputs_micro_0028_0039_hyper_ens5_big_log1p_v1,outputs_micro_0028_0039_hyper_ens5_big_log1p_v1,2026-02-09T21:26:04+08:00,success,false,false,,0e7a4b1e7e5410762f70bbe1cc7d62b48065347c,normalized_sha1,configs/micro_0028_0039_hyper_ens5_big_log1p.yaml,output_root_match,experiments/configs/0e7a4b1e7e5410762f70bbe1cc7d62b48065347c.yaml,0e7a4b1e7e5410762f70bbe1cc7d62b48065347c,outputs_micro_0028_0039_hyper_ens5_big_log1p_v1/metrics/summary_vs_paper.csv,365.047551,0.672072,0,2,5,"{""datasets.external"": [""0028"", ""0039""], ""datasets.external_count"": 2, ""datasets.pretrain_count"": 14, ""models.CALIBRATE"": false, ""models.CLIP_MULT"": 10.0, ""models.ENABLE_FAIL_TUNING"": false, ""models.ENABLE_HYPER_TL"": true, ""models.FUSION_TOP_K"": 1, ""models.HYPER_TL.cp_hidden"": 512, ""models.HYPER_TL.dropout"": 0.05, ""models.HYPER_TL.embed_dim"": 256, ""models.HYPER_TL.mol_hidden"": 1024, ""models.HYPER_TL.n_models"": 5, ""models.ONLY_HYPER_TL"": true, ""seeds.default"": ""0:4"", ""transfer_weights.adaptive_source"": false, ""transfer_weights.source"": 0.2, ""transfer_weights.target"": 1.0, ""transfer_weights.target_transform"": ""log1p""}",
outputs_micro_0028_0039_hyper_ens5_big_v1,outputs_micro_0028_0039_hyper_ens5_big_v1,outputs_micro_0028_0039_hyper_ens5_big_v1,2026-02-09T21:19:16+08:00,success,false,false,,8ad0103d249a4254419ed0922b21e789901d73c6,normalized_sha1,configs/micro_0028_0039_hyper_ens5_big.yaml,output_root_match,experiments/configs/8ad0103d249a4254419ed0922b21e789901d73c6.yaml,8ad0103d249a4254419ed0922b21e789901d73c6,outputs_micro_0028_0039_hyper_ens5_big_v1/metrics/summary_vs_paper.csv,314.728629,0.785085,0,2,5,"{""datasets.external"": [""0028"", ""0039""], ""datasets.external_count"": 2, ""datasets.pretrain_count"": 14, ""models.CALIBRATE"": false, ""models.CLIP_MULT"": 10.0, ""models.ENABLE_FAIL_TUNING"": false, ""models.ENABLE_HYPER_TL"": true, ""models.FUSION_TOP_K"": 1, ""models.HYPER_TL.cp_hidden"": 512, ""models.HYPER_TL.dropout"": 0.05, ""models.HYPER_TL.embed_dim"": 256, ""models.HYPER_TL.mol_hidden"": 1024, ""models.HYPER_TL.n_models"": 5, ""models.ONLY_HYPER_TL"": true, ""seeds.default"": ""0:4"", ""transfer_weights.adaptive_source"": false, ""transfer_weights.source"": 0.2, ""transfer_weights.target"": 1.0, ""transfer_weights.target_transform"": ""none""}",
outputs_micro_0028_0039_hyper_ens5_v1,outputs_micro_0028_0039_hyper_ens5_v1,outputs_micro_0028_0039_hyper_ens5_v1,2026-02-09T21:15:48+08:00,success,false,false,,fbf7342259440a02e48e1dc801e378fc8f13cbd6,normalized_sha1,configs/micro_0028_0039_hyper_ens5.yaml,output_root_match,experiments/configs/fbf7342259440a02e48e1dc801e378fc8f13cbd6.yaml,fbf7342259440a02e48e1dc801e378fc8f13cbd6,outputs_micro_0028_0039_hyper_ens5_v1/metrics/summary_vs_paper.csv,320.794297,0.759911,0,2,5,"{""datasets.external"": [""0028"", ""0039""], ""datasets.external_count"": 2, ""datasets.pretrain_count"": 14, ""models.CALIBRATE"": false, ""models.CLIP_MULT"": 10.0, ""models.ENABLE_FAIL_TUNING"": false, ""models.ENABLE_HYPER_TL"": true, ""models.FUSION_TOP_K"": 1, ""models.HYPER_TL.cp_hidden"": 256, ""models.HYPER_TL.dropout"": 0.1, ""models.HYPER_TL.embed_dim"": 128, ""models.HYPER_TL.mol_hidden"": 512, ""models.HYPER_TL.n_models"": 5, ""models.ONLY_HYPER_TL"": true, ""seeds.default"": ""0:4"", ""transfer_weights.adaptive_source"": false, ""transfer_weights.source"": 0.2, ""transfer_weights.target"": 1.0, ""transfer_weights.target_transform"": ""none""}",
outputs_micro_0028_0039_hyper_v1,outputs_micro_0028_0039_hyper_v1,outputs_micro_0028_0039_hyper_v1,2026-02-09T21:10:46+08:00,success,false,false,,86eda608152aeaaa07524500a727119e7fbee314,normalized_sha1,configs/micro_0028_0039_hyper.yaml,output_root_match,experiments/configs/86eda608152aeaaa07524500a727119e7fbee314.yaml,86eda608152aeaaa07524500a727119e7fbee314,outputs_micro_0028_0039_hyper_v1/metrics/summary_vs_paper.csv,339.445813,0.697432,0,2,5,"{""datasets.external"": [""0028"", ""0039""], ""datasets.external_count"": 2, ""datasets.pretrain_count"": 14, ""models.CALIBRATE"": false, ""models.CLIP_MULT"": 10.0, ""models.ENABLE_FAIL_TUNING"": false, ""models.ENABLE_HYPER_TL"": true, ""models.FUSION_TOP_K"": 1, ""models.HYPER_TL.cp_hidden"": 256, ""models.HYPER_TL.dropout"": 0.1, ""models.HYPER_TL.embed_dim"": 128, ""models.HYPER_TL.mol_hidden"": 512, ""models.ONLY_HYPER_TL"": true, ""seeds.default"": ""0:4"", ""transfer_weights.adaptive_source"": false, ""transfer_weights.source"": 0.2, ""transfer_weights.target"": 1.0, ""transfer_weights.target_transform"": ""none""}",
outputs_micro_0028_0039_hyper_v2,outputs_micro_0028_0039_hyper_v2,outputs_micro_0028_0039_hyper_v2,2026-02-09T21:12:42+08:00,success,false,false,,c2b27eec77590cde1eee0c10a2340db23512b92f,normalized_sha1,configs/micro_0028_0039_hyper_v2.yaml,output_root_match,experiments/configs/c2b27eec77590cde1eee0c10a2340db23512b92f.yaml,c2b27eec77590cde1eee0c10a2340db23512b92f,outputs_micro_0028_0039_hyper_v2/metrics/summary_vs_paper.csv,347.087648,0.687224,0,2,5,"{""datasets.external"": [""0028"", ""0039""], ""datasets.external_count"": 2, ""datasets.pretrain_count"": 14, ""models.CALIBRATE"": false, ""models.CLIP_MULT"": 10.0, ""models.ENABLE_FAIL_TUNING"": false, ""models.ENABLE_HYPER_TL"": true, ""models.FUSION_TOP_K"": 1, ""models.HYPER_TL.cp_hidden"": 256, ""models.HYPER_TL.dropout"": 0.1, ""models.HYPER_TL.embed_dim"": 128, ""models.HYPER_TL.mol_hidden"": 512, ""models.ONLY_HYPER_TL"": true, ""seeds.default"": ""0:4"", ""transfer_weights.adaptive_source"": false, ""transfer_weights.source"": 0.2, ""transfer_weights.target"": 1.0, ""transfer_weights.target_transform"": ""none""}",
outputs_micro_0028_0039_logk_v1,outputs_micro_0028_0039_logk_v1,outputs_micro_0028_0039_logk_v1,2026-02-09T20:08:18+08:00,success,false,false,,22b1d685fb43200e563a301f7b17d8645e8af215,normalized_sha1,configs/micro_0028_0039_logk.yaml,output_root_match,experiments/configs/22b1d685fb43200e563a301f7b17d8645e8af215.yaml,22b1d685fb43200e563a301f7b17d8645e8af215,outputs_micro_0028_0039_logk_v1/metrics/summary_vs_paper.csv,448.700810,0.513777,0,2,3,"{""datasets.external"": [""0028"", ""0039""], ""datasets.external_count"": 2, ""datasets.pretrain_count"": 14, ""models.CALIBRATE"": false, ""models.CLIP_MULT"": 1.5, ""models.ENABLE_FAIL_TUNING"": true, ""models.FUSION_TOP_K"": 3, ""seeds.default"": ""0:2"", ""transfer_weights.adaptive_source"": true, ""transfer_weights.max_scale"": 2.0, ""transfer_weights.min_scale"": 0.25, ""transfer_weights.similarity_power"": 2.0, ""transfer_weights.source"": 0.05, ""transfer_weights.target"": 1.0, ""transfer_weights.target_transform"": ""logk""}",
outputs_micro_0028_0039_perdataset_v1,outputs_micro_0028_0039_perdataset_v1,outputs_micro_0028_0039_perdataset_v1,2026-02-09T20:58:46+08:00,success,false,false,,88200b3b8fb679167c769d4b497f7c16b3e09b4a,normalized_sha1,configs/micro_0028_0039_perdataset.yaml,output_root_match,experiments/configs/88200b3b8fb679167c769d4b497f7c16b3e09b4a.yaml,88200b3b8fb679167c769d4b497f7c16b3e09b4a,outputs_micro_0028_0039_perdataset_v1/metrics/summary_vs_paper.csv,647.116020,0.059583,0,2,3,"{""datasets.external"": [""0028"", ""0039""], ""datasets.external_count"": 2, ""datasets.pretrain_count"": 14, ""models.CALIBRATE"": false, ""models.CLIP_MULT"": 1.5, ""models.ENABLE_FAIL_TUNING"": true, ""models.FUSION_TOP_K"": 1, ""seeds.default"": ""0:2"", ""transfer_weights.adaptive_source"": true, ""transfer_weights.max_scale"": 2.0, ""transfer_weights.min_scale"": 0.25, ""transfer_weights.similarity_power"": 2.0, ""transfer_weights.source"": 10.0, ""transfer_weights.source_weight_mode"": ""per_dataset"", ""transfer_weights.target"": 1.0, ""transfer_weights.target_transform"": ""none"", ""transfer_weights.top_k_sources"": 5}",
outputs_micro_0039_hyper_ens10_big_v1,outputs_micro_0039_hyper_ens10_big_v1,outputs_micro_0039_hyper_ens10_big_v1,2026-02-09T21:45:56+08:00,success,false,false,,361f922c1a4c45f2468e18d05aca24d616a1411e,normalized_sha1,configs/micro_0039_hyper_ens10_big.yaml,output_root_match,experiments/configs/361f922c1a4c45f2468e18d05aca24d616a1411e.yaml,361f922c1a4c45f2468e18d05aca24d616a1411e,outputs_micro_0039_hyper_ens10_big_v1/metrics/summary_vs_paper.csv,506.276086,0.716186,0,1,5,"{""datasets.external"": [""0039""], ""datasets.external_count"": 1, ""datasets.pretrain_count"": 14, ""models.CALIBRATE"": false, ""models.CLIP_MULT"": 10.0, ""models.ENABLE_FAIL_TUNING"": false, ""models.ENABLE_HYPER_TL"": true, ""models.FUSION_TOP_K"": 1, ""models.HYPER_TL.cp_hidden"": 512, ""models.HYPER_TL.dropout"": 0.05, ""models.HYPER_TL.embed_dim"": 256, ""models.HYPER_TL.mol_hidden"": 1024, ""models.HYPER_TL.n_models"": 10, ""models.ONLY_HYPER_TL"": true, ""seeds.default"": ""0:4"", ""transfer_weights.adaptive_source"": false, ""transfer_weights.source"": 0.2, ""transfer_weights.target"": 1.0, ""transfer_weights.target_transform"": ""none""}",
