eluent.A.h2o,eluent.A.meoh,eluent.A.acn,eluent.A.iproh,eluent.A.acetone,eluent.A.hex,eluent.A.chcl3,eluent.A.ch2cl2,eluent.A.hept,eluent.A.formic,eluent.A.acetic,eluent.A.trifluoroacetic,eluent.A.phosphor,eluent.A.nh4ac,eluent.A.nh4form,eluent.A.nh4carb,eluent.A.nh4bicarb,eluent.A.nh4f,eluent.A.nh4oh,eluent.A.trieth,eluent.A.triprop,eluent.A.tribut,eluent.A.nndimethylhex,eluent.A.medronic,eluent.A.pH,eluent.B.h2o,eluent.B.meoh,eluent.B.acn,eluent.B.iproh,eluent.B.acetone,eluent.B.hex,eluent.B.chcl3,eluent.B.ch2cl2,eluent.B.hept,eluent.B.formic,eluent.B.acetic,eluent.B.trifluoroacetic,eluent.B.phosphor,eluent.B.nh4ac,eluent.B.nh4form,eluent.B.nh4carb,eluent.B.nh4bicarb,eluent.B.nh4f,eluent.B.nh4oh,eluent.B.trieth,eluent.B.triprop,eluent.B.tribut,eluent.B.nndimethylhex,eluent.B.medronic,eluent.B.pH
100,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,3.0,0,100.0,0,0,0,0,0,0,0,0.1,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,3.0
100,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,3.0,0,100.0,0,0,0,0,0,0,0,0.1,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,3.0
100,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,3.0,0,0.0,100,0,0,0,0,0,0,0.1,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,3.0
100,0,0,0,0,0,0,0,0,0.2,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,2,0.0,98,0,0,0,0,0,0,0.2,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0
90,0,5,0,0,0,0,0,0,5.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,100,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0
0,0,100,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,100,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,10,0,0,0.0,0,0,0,0,0.0,0.0
100,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,3.0,0,0.0,50,50,0,0,0,0,0,0.1,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,3.0
100,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,3.0,0,0.0,100,0,0,0,0,0,0,0.1,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,3.0
60,0,40,0,0,0,0,0,0,0.1,0.0,0.0,0,0,10,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,10,90,0,0,0,0,0,0.1,0.0,0.0,0,0,10.0,0,0,0,0.0,0,0,0,0,0.0,0.0
100,0,0,0,0,0,0,0,0,0.2,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,2,0.0,98,0,0,0,0,0,0,0.2,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0
100,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,3.0,0,0.0,100,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0
100,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,3.0,0,100.0,0,0,0,0,0,0,0,0.1,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,3.0
100,0,0,0,0,0,0,0,0,0.2,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,100,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0
100,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,3.0,0,100.0,0,0,0,0,0,0,0,0.1,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,3.0
100,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,3.0,0,0.0,100,0,0,0,0,0,0,0.1,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,3.0
100,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,3.0,0,0.0,100,0,0,0,0,0,0,0.1,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,3.0
100,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,3.0,0,0.0,100,0,0,0,0,0,0,0.1,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,3.0
100,0,0,0,0,0,0,0,0,0.5,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,100,0,0,0,0,0,0,0.5,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0
100,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0,0,10,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,100,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0
100,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,3.0,0,0.0,100,0,0,0,0,0,0,0.1,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,3.0
100,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0,0,0,0,0,0,0.0,0,0,0,0,0,2.0,0,0.0,100,0,0,0,0,0,0,0.0,0.0,0.1,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,2.0
100,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0,0,0,0,0,0,0.0,0,0,0,0,0,2.0,0,0.0,100,0,0,0,0,0,0,0.0,0.0,0.1,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,2.0
100,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0,0,0,0,0,0,0.0,0,0,0,0,0,2.0,0,0.0,100,0,0,0,0,0,0,0.0,0.0,0.1,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,2.0
100,0,0,0,0,0,0,0,0,0.5,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,100,0,0,0,0,0,0,0.5,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0
