smiles	RT
C1=CC2=C(C(=C1)O)NC(=CC2=O)C(=O)O	167.88
C1=C(NC=N1)C=CC(=O)O	57.54
C12=C(NC(=O)N1)NC(=O)NC2=O	67.5
C[N+]1=CC=CC(=C1)C(=O)[O-]	37.26
CN1C=NC2=C1C(=O)NC(=O)N2C	145.14000000000001
C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CSCCC(C(=O)O)N)O)O)N	84.24
CC1=NC=C(C(=C1O)CO)CO	75.96000000000001
C1=C(C(=O)NC(=O)N1)C2C(C(C(O2)CO)O)O	56.94
C1CC(NC1)C(=O)N2CCCC2C(=O)O	85.98
CCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	98.28
C[N+]1(CCCC1C(=O)[O-])C	41.040000000000006
C1CC(NC1)C(=O)N2CC(CC2C(=O)O)O	46.08
C1CCNC(C1)C(=O)O	54.36
C1=CC=C(C=C1)CC(=O)NC(CCC(=O)N)C(=O)O	217.14000000000001
CC(C)(CO)C(C(=O)NCCC(=O)O)O	141.06
CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	58.56
CNC1=C2C(=NC=N1)N(C=N2)C3C(C(C(O3)CO)O)O	123.60000000000001
CN1C=NC2=C(C1=N)N=CN2C3C(C(C(O3)CO)O)O	75.3
CNC(=NC)NCCCC(C(=O)O)N	38.4
C1=CC(=CN=C1)C(=O)N	67.14
CC(=O)NCCCCC(C(=O)O)N	55.080000000000005
C(C(C(=O)O)N=C(N)N)C(=O)O	35.099999999999994
CC(=O)NC(CC(=O)N)C(=O)O	46.32
CC(=O)NC1C(CC(OC1C(C(CO)O)O)(C(=O)O)O)O	36.6
CC(=O)NC(CCCN=C(N)N)C(=O)O	54.96
CN(C)C1=NC2=C(C(=O)N1)N=CN2C3C(C(C(O3)CO)O)O	143.22
C1=COC(=C1)C(=O)NCC(=O)O	141.66000000000003
CN(C)C(=N)N=C(N)N	40.2
C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N	165.06
C(CCN)CC(C(=O)O)N	28.080000000000002
C1=CC=C(C(=C1)C(=O)CC(C(=O)O)N)N	121.02
