dataset,paper_mae,paper_r2,our_mae_mean,our_r2_mean,delta_mae,delta_r2,p_mae,p_r2,p_adj_mae,p_adj_r2,win_both
0028,147.77,0.85,115.73053194681803,0.8667797871091013,32.03946805318198,0.01677978710910133,0.007269008085131645,0.02132585272192955,0.01696101886530717,0.02985619381070137,True
0032,196.63,0.91,193.92428215874568,0.8919300909563032,2.7057178412543124,-0.018069909043696875,0.154260384850204,0.342523536644876,0.2159645387902856,0.39961079275235534,False
0039,404.43,0.85,417.78016764322916,0.8014231305884973,-13.350167643229156,-0.04857686941150263,0.5242367628961802,0.8034749096259475,0.6210174436370531,0.8034749096259475,False
0049,30.69,0.93,22.898248679549607,0.9584370992010971,7.791751320450395,0.02843709920109705,2.3562461137771606e-07,1.0399147868156433e-05,1.6493722796440125e-06,3.6397017538547516e-05,True
0050,56.73,0.7,61.02968761444091,0.793590711550354,-4.299687614440913,0.09359071155035403,0.9009621003642678,0.0002527441829442978,0.9009621003642678,0.0005897364268700281,False
0051,213.18,0.88,191.87794946034748,0.8825785391671185,21.302050539652527,0.0025785391671184765,0.03177824430167675,0.1853703036904335,0.049432824469274946,0.23592584106055173,False
0056,43.43,0.75,39.54900728861491,0.7963082896469534,3.8809927113850904,0.04630828964695344,0.02132585272192955,0.007730001583695412,0.0426517054438591,0.01352750277146697,True
0057,67.72,0.65,59.52685156928168,0.7571705588298697,8.193148430718317,0.1071705588298697,0.0009320033714175224,3.1433068215847015e-05,0.0030628856271505355,8.801259100437165e-05,True
0060,12.23,0.8,9.99847573598226,0.9069304521713725,2.2315242640177413,0.10693045217137243,0.0010938877239823341,3.073364496231079e-08,0.0030628856271505355,2.1513551473617554e-07,True
0233,8.75,0.98,9.97389954107779,0.9795511658157874,-1.22389954107779,-0.0004488341842125987,0.532300665974617,0.017268367111682892,0.6210174436370531,0.026861904395951167,False
0255,12.88,0.93,8.305097043072736,0.9771268055144712,4.574902956927264,0.047126805514471126,5.122274160385132e-08,4.6566128730773926e-09,7.171183824539185e-07,6.51925802230835e-08,True
0274,83.3,0.8,68.33954229354859,0.8711305272868033,14.960457706451407,0.07113052728680325,1.7265789210796356e-05,2.9867514967918396e-06,8.057368298371632e-05,1.3938173651695251e-05,True
0275,74.51,0.84,78.17271588643392,0.8257241019429635,-3.662715886433915,-0.01427589805703644,0.6795872980728745,0.5564025957137346,0.7318632440784802,0.5992027953840219,False
0276,68.68,0.83,62.549444389343265,0.8722263038797745,6.130555610656742,0.04222630387977455,0.026131673716008663,0.0004359101876616478,0.04573042900301516,0.0008718203753232956,True
