dataset,sheet,split_id,n_train,n_val,n_test,RT_min,RT_max,RT_IQR,dup_rate,source_CP_distance,residual_MAE,residual_R2,residual_skew,film_grad_ok,cp_sensitivity_p,failure_tag,loss_weight_rule
0019,S4,S4_0019_23,294,33,37,48,1224,327,0,0,20.07572875,0.9868136692,0.3094364107,n/a,,win,
0019,S4,S4_0019_24,294,33,37,48,1086,310.5,0,0,20.07572875,0.9868136692,0.3094364107,n/a,,win,
0019,S4,S4_0019_25,294,33,37,54,1224,310.5,0,0,20.07572875,0.9868136692,0.3094364107,n/a,,win,
0052,S4,S4_0052_23,109,13,14,66,1425,362.3999939,0.2660550459,0,45.5027682,0.952272745,2.17161929,n/a,,win,
0052,S4,S4_0052_24,109,13,14,67.80000305,1425,332.999939,0.2018348624,0,45.5027682,0.952272745,2.17161929,n/a,,win,
0052,S4,S4_0052_25,109,13,14,66,1425,360.6000061,0.2110091743,0,45.5027682,0.952272745,2.17161929,n/a,,win,
0179,S4,S4_0179_23,324,37,41,49.79999924,914.3999634,174.150013,0.0987654321,-2.220446049e-16,10.33294972,0.9817077747,-4.649722225,n/a,,win,
0179,S4,S4_0179_24,324,37,41,49.79999924,914.3999634,162.4500046,0.08950617284,-2.220446049e-16,10.33294972,0.9817077747,-4.649722225,n/a,,win,
0179,S4,S4_0179_25,324,37,41,49.79999924,896.3999634,178.3500099,0.08333333333,-2.220446049e-16,10.33294972,0.9817077747,-4.649722225,n/a,,win,
0180,S4,S4_0180_23,291,33,37,53.39999771,768,170.1000023,0.116838488,-2.220446049e-16,21.59184403,0.7830775083,-5.654193377,n/a,,catastrophic,
0180,S4,S4_0180_24,291,33,37,53.39999771,767.4000244,164.3999977,0.09621993127,-2.220446049e-16,21.59184403,0.7830775083,-5.654193377,n/a,,catastrophic,
0180,S4,S4_0180_25,291,33,37,53.39999771,768,169.2000008,0.09621993127,-2.220446049e-16,21.59184403,0.7830775083,-5.654193377,n/a,,catastrophic,
0234,S4,S4_0234_23,106,12,14,30.89999962,606.5999756,179.1450005,0.02830188679,0,9.30051908,0.9892394236,3.370977965,n/a,,near_miss,
0234,S4,S4_0234_24,106,12,14,31.79999924,654,155.1750031,0.04716981132,0,9.30051908,0.9892394236,3.370977965,n/a,,near_miss,
0234,S4,S4_0234_25,106,12,14,30.89999962,588.6000366,152.2500095,0.03773584906,0,9.30051908,0.9892394236,3.370977965,n/a,,near_miss,
0235,S4,S4_0235_23,108,13,14,27.60000038,652.7999878,108.869998,0.009259259259,0,4.834963753,0.9948488912,0.1246135955,n/a,,win,
0235,S4,S4_0235_24,108,13,14,27.60000038,652.7999878,107.3850021,0,0,4.834963753,0.9948488912,0.1246135955,n/a,,win,
0235,S4,S4_0235_25,108,13,14,27.60000038,652.7999878,111.2099991,0.009259259259,0,4.834963753,0.9948488912,0.1246135955,n/a,,win,
0260,S4,S4_0260_23,536,60,67,84.05999756,898.7999878,128.565033,0.005597014925,-2.220446049e-16,18.98375129,0.8867484997,-7.513034376,n/a,,near_miss_r2,
0260,S4,S4_0260_24,536,60,67,84.05999756,753,125.14505,0.003731343284,-2.220446049e-16,18.98375129,0.8867484997,-7.513034376,n/a,,near_miss_r2,
0260,S4,S4_0260_25,536,60,67,84.24000549,898.7999878,126.2400208,0.001865671642,-2.220446049e-16,18.98375129,0.8867484997,-7.513034376,n/a,,near_miss_r2,
0261,S4,S4_0261_23,89,10,11,88.80000305,972.5999756,160.1999817,0,-2.220446049e-16,19.85549418,0.9681037105,-1.164867604,n/a,,near_miss_mae,
0261,S4,S4_0261_24,89,10,11,88.80000305,700.2000122,153,0,-2.220446049e-16,19.85549418,0.9681037105,-1.164867604,n/a,,near_miss_mae,
0261,S4,S4_0261_25,89,10,11,99,972.5999756,144.5999756,0,-2.220446049e-16,19.85549418,0.9681037105,-1.164867604,n/a,,near_miss_mae,
0264,S4,S4_0264_23,189,22,24,11.64999962,418.3580017,155.7540131,0.02645502646,1.110223025e-16,17.48646937,0.9105392585,-2.122334541,n/a,,near_miss_r2,
0264,S4,S4_0264_24,189,22,24,11.64999962,418.3580017,168.6330109,0.03174603175,1.110223025e-16,17.48646937,0.9105392585,-2.122334541,n/a,,near_miss_r2,
0264,S4,S4_0264_25,189,22,24,11.64999962,418.3580017,159.2789917,0.03174603175,1.110223025e-16,17.48646937,0.9105392585,-2.122334541,n/a,,near_miss_r2,
0317,S4,S4_0317_23,138,16,18,32.81999969,424.2600098,158.879982,0.08695652174,0,7.98525676,0.9816338747,-0.9977662511,n/a,,win,
0317,S4,S4_0317_24,138,16,18,32.81999969,527.5800171,159.4950027,0.09420289855,0,7.98525676,0.9816338747,-0.9977662511,n/a,,win,
0317,S4,S4_0317_25,138,16,18,32.81999969,527.5800171,147.7799988,0.09420289855,0,7.98525676,0.9816338747,-0.9977662511,n/a,,win,
0319,S4,S4_0319_23,301,34,38,31.97999954,528.539978,284.5800018,0.07641196013,-2.220446049e-16,8.99292126,0.9899756927,-2.240726988,n/a,,win,
0319,S4,S4_0319_24,301,34,38,31.97999954,541.3200073,295.260025,0.06976744186,-2.220446049e-16,8.99292126,0.9899756927,-2.240726988,n/a,,win,
0319,S4,S4_0319_25,301,34,38,31.97999954,541.3200073,284.219986,0.09302325581,-2.220446049e-16,8.99292126,0.9899756927,-2.240726988,n/a,,win,
0321,S4,S4_0321_23,270,30,34,31.86000061,476.8200073,300.4949894,0.05555555556,-2.220446049e-16,6.011380701,0.9955034697,2.688079236,n/a,,win,
0321,S4,S4_0321_24,270,30,34,31.86000061,518.8200073,310.7850037,0.1037037037,-2.220446049e-16,6.011380701,0.9955034697,2.688079236,n/a,,win,
0321,S4,S4_0321_25,270,30,34,31.86000061,518.8200073,310.8900013,0.08148148148,-2.220446049e-16,6.011380701,0.9955034697,2.688079236,n/a,,win,
0323,S4,S4_0323_23,279,31,35,30.72000122,538.3800049,284.7599983,0.07885304659,0,8.178995895,0.9889529599,-4.336839834,n/a,,win,
0323,S4,S4_0323_24,279,31,35,30.72000122,538.3800049,305.220005,0.09318996416,0,8.178995895,0.9889529599,-4.336839834,n/a,,win,
0323,S4,S4_0323_25,279,31,35,30.72000122,505.6800232,303.6599846,0.1003584229,0,8.178995895,0.9889529599,-4.336839834,n/a,,win,
0331,S4,S4_0331_23,319,36,40,32.15999985,386.2200012,211.6499863,0.07836990596,0,9.583379412,0.9768834025,-1.543280944,n/a,,win,
0331,S4,S4_0331_24,319,36,40,32.15999985,373.6800232,214.7100067,0.07210031348,0,9.583379412,0.9768834025,-1.543280944,n/a,,win,
0331,S4,S4_0331_25,319,36,40,32.15999985,386.2200012,211.2000084,0.08150470219,0,9.583379412,0.9768834025,-1.543280944,n/a,,win,
0027,S5,S5_0027_23,244,28,31,56.40000153,913.6199951,218.7899971,0.1639344262,0.2846420264,63.8824388,0.7771157218,0.1171202475,n/a,,catastrophic,
0027,S5,S5_0027_24,244,28,31,60,913.6199951,205.965004,0.1475409836,0.2846420264,63.8824388,0.7771157218,0.1171202475,n/a,,catastrophic,
0027,S5,S5_0027_25,244,28,31,56.40000153,919.9199829,216.0300293,0.1516393443,0.2846420264,63.8824388,0.7771157218,0.1171202475,n/a,,catastrophic,
0183,S5,S5_0183_23,248,28,31,31.79999924,865.2000122,400.3500004,0.07661290323,0.1570893143,139.9592196,0.4560947301,-0.2072205396,n/a,,catastrophic,
0183,S5,S5_0183_24,248,28,31,31.79999924,865.2000122,404.8499985,0.07661290323,0.1570893143,139.9592196,0.4560947301,-0.2072205396,n/a,,catastrophic,
0183,S5,S5_0183_25,248,28,31,31.79999924,865.2000122,387.8999939,0.08870967742,0.1570893143,139.9592196,0.4560947301,-0.2072205396,n/a,,catastrophic,
0184,S5,S5_0184_23,234,27,30,28.20000076,889.7999878,388.0500154,0.0811965812,0.1570893143,105.5009599,0.62068139,0.615947869,n/a,,catastrophic,
0184,S5,S5_0184_24,234,27,30,28.20000076,889.7999878,368.3999901,0.07692307692,0.1570893143,105.5009599,0.62068139,0.615947869,n/a,,catastrophic,
0184,S5,S5_0184_25,234,27,30,28.79999924,889.7999878,350.6999855,0.08547008547,0.1570893143,105.5009599,0.62068139,0.615947869,n/a,,catastrophic,
0185,S5,S5_0185_23,307,35,38,54.60000229,690,217.1999817,0.1042345277,0.1591420943,51.67261791,0.8012724315,2.461322214,n/a,,hard_loss,
